question,gold_source,retrieved_source,generated_answer,error_type,cause,possible_fix
What does semantics concern in NLP?,1a_introduction.pdf:24,1a_introduction.pdf:5;1a_introduction.pdf:45;7_lexicalsemantics.pdf:5;2_wordsegmentation.pdf:2;7_lexicalsemantics.pdf:2,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
What are the main approaches to word segmentation in the slides?,2_wordsegmentation.pdf:10,2_wordsegmentation.pdf:2;2_wordsegmentation.pdf:19;1a_introduction.pdf:26;2_wordsegmentation.pdf:20;12_summarisation_v1.pdf:11,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
How can dependency parsing support relation extraction?,5c_Dependency Parsing.pdf:9,5c_Dependency Parsing.pdf:81;5c_Dependency Parsing.pdf:82;5c_Dependency Parsing.pdf:66;5c_Dependency Parsing.pdf:6;5c_Dependency Parsing.pdf:87,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
How is a dependency parse represented as a graph?,5c_Dependency Parsing.pdf:11,5c_Dependency Parsing.pdf:55;5c_Dependency Parsing.pdf:66;5c_Dependency Parsing.pdf:54;5c_Dependency Parsing.pdf:82;5c_Dependency Parsing.pdf:63,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
What features can be used for word sense disambiguation?,7_lexicalsemantics.pdf:38,7_lexicalsemantics.pdf:3;7_lexicalsemantics.pdf:28;7_lexicalsemantics.pdf:25;7_lexicalsemantics.pdf:16;7_lexicalsemantics.pdf:27,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
How does statistical machine translation frame translation?,11_machinetranslation.pdf:13,11_machinetranslation.pdf:12;11_machinetranslation.pdf:78;11_machinetranslation.pdf:81;11_machinetranslation.pdf:79;11_machinetranslation.pdf:56,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
What are the necessities of a statistical MT system?,11_machinetranslation.pdf:15,11_machinetranslation.pdf:17;11_machinetranslation.pdf:14;11_machinetranslation.pdf:101;11_machinetranslation.pdf:12;11_machinetranslation.pdf:104,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
Why is alignment needed in statistical MT?,11_machinetranslation.pdf:16,11_machinetranslation.pdf:17;11_machinetranslation.pdf:14;11_machinetranslation.pdf:27;11_machinetranslation.pdf:33;11_machinetranslation.pdf:30,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
Name some applications of text summarization.,12_summarisation_v1.pdf:3,7_lexicalsemantics.pdf:67;12_summarisation_v1.pdf:2;12_summarisation_v1.pdf:45;12_summarisation_v1.pdf:47;1a_introduction.pdf:17,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
What is extractive summarization?,12_summarisation_v1.pdf:6,12_summarisation_v1.pdf:8;12_summarisation_v1.pdf:34;12_summarisation_v1.pdf:30;12_summarisation_v1.pdf:9;12_summarisation_v1.pdf:29,,retrieval_failure,No gold source was retrieved in the final top-k context.,"Improve gold labels, increase candidate_k, tune alpha, inspect chunking, or inspect PDF extraction."
